Categoria,Nombre Plato,Descripcion,Precio,URL de Imagen
PLATOS PERSONALES,Ceviche clásico,descripcion_acompanamiento,S/ 10,
PLATOS PERSONALES,Ceviche de tollo,descripcion_acompanamiento,S/ 20,
PLATOS PERSONALES,Ceviche mixto,descripcion_acompanamiento,S/ 25,
PLATOS PERSONALES,Leche de tigre,"Con Papa rellena o Tortita de choclo",S/ 15,
PLATOS PERSONALES,Ceviche clásico + Chicharrón,,S/ 25,
PLATOS PERSONALES,Ceviche clásico + Arroz/Chaufa,descripcion_escolar,S/ 25,
PLATOS PERSONALES,Ceviche Tollo + Arroz/Chaufa,descripcion_escolar,S/ 27,
PLATOS PERSONALES,Ceviche mixto + Arroz/Chaufa,descripcion_escolar,S/ 30,
PLATOS PERSONALES,Ceviche de conchas negras,,S/ 25,
PLATOS PERSONALES,Trío Aymar,"Ceviche clásico, Chicharrón, Arroz o Chaufa",S/ 35,
PLATOS PERSONALES,Ronda marina,"Ceviche, Chicharrón, Leche de tigre, Arroz o Chaufa y Tortita",S/ 45,
PLATOS PERSONALES,Sudado Parihuela,,S/ 25,
PLATOS PERSONALES,Chicharrón de pescado,,S/ 25,
PLATOS PERSONALES,Chicharrón mixto,,S/ 25,
PLATOS PERSONALES,Arroz con mariscos,,S/ 25,
PLATOS PERSONALES,Chaufa de mariscos,,S/ 25,
PLATOS PERSONALES,Chaufa amazónico,,S/ 25,
FUENTES PARA COMPARTIR,Ceviche de pescado,,s/40,
FUENTES PARA COMPARTIR,Ceviche mixto,,s/45,
FUENTES PARA COMPARTIR,Chicharrón de pescado,,s/40,
FUENTES PARA COMPARTIR,Chicharrón mixto,,s/45,
FUENTES PARA COMPARTIR,Arroz con mariscos,,s/40,
FUENTES PARA COMPARTIR,Chaufa de mariscos,,s/40,
FUENTES PARA COMPARTIR,Dúo Marino Aymar,,s/50,
FUENTES PARA COMPARTIR,Trio Marino Aymar,,s/60,
FUENTES PARA COMPARTIR,Sudado Parihuela,,s/40,
ADICIONALES,Papa rellena,,s/5,
ADICIONALES,Tortilla de choclo,,s/4,
ADICIONALES,Yucas fritas,,s/5,
ADICIONALES,Camote,,s/4,
ADICIONALES,Arroz blanco,,s/4,
ADICIONALES,Palabritas,,s/10,
ADICIONALES,Papa a la huancaina,,s/8,
BEBIDAS NATURALES,Chicha Morada,,s/6 - s/12,
BEBIDAS NATURALES,Maracuyá,,s/6 - s/12,
BEBIDAS NATURALES,Chicha de Jora,,s/6 - s/12,
Gaseosas,Inca Kola Pers.,,s/3,
Gaseosas,Inca Kola,,s/5 - s/10,
Gaseosas,Coca Cola,,s/5 - s/10,
Gaseosas,Gordita,,s/6,
Gaseosas,Agua Mineral,,s/3,
Cerveza,Pilsen,,s/10,
Cerveza,Cuzqueña,,s/11,
